Год,Неделя,SMN,SMT,VCI,TCI,VHI,Процент площади где VHI < 15%,Процент площади где VHI < 35%
1986,33,0.2275,302.414,29.09,12.14,20.62,34.98,87.91
1986,34,0.2123,302.171,26.01,8.98,17.49,45.71,92.19
1986,35,0.1918,301.362,22.3,6.19,14.24,57.37,96.27
1986,36,0.1662,299.151,17.7,8.9,13.3,61.37,96.31
1986,37,0.1436,296.352,14.58,15.47,15.02,55.34,94.09
1986,38,0.1236,292.97,12.49,28.52,20.5,36.07,87.76
1989,32,0.2359,302.687,30.34,12.91,21.62,33.03,85.54
1989,33,0.2159,302.063,24.17,15.05,19.6,40.89,87.41
1989,34,0.1995,300.945,20.34,19.46,19.9,40.65,86.44
1989,35,0.1826,299.1,18.28,25.81,22.04,33.97,82.16
1995,51,0.0053,258.884,0.52,40.21,20.37,33.5,90.87
1995,52,0.004,257.585,0.42,39.96,20.19,37.39,89.27
1996,1,0.0012,256.05,0.24,38.77,19.5,41.31,88.26
2000,48,0.0185,264.978,11.92,30.49,21.2,33.62,86.2
2000,49,0.0189,263.589,13.17,28.93,21.05,36.49,85.46
2000,50,0.0202,262.25,16.04,28.75,22.39,32.1,82.55
2012,24,0.3512,305.624,38.56,5.47,22.02,33.35,82.12
2012,25,0.3531,305.982,39.18,5.42,22.3,35.33,79.87
2012,26,0.3515,306.388,39.81,5.72,22.76,35.87,76.99
2012,27,0.3396,306.604,35.5,5.92,20.71,40.38,81.23
2012,28,0.3296,306.854,33.89,5.79,19.84,42.13,83.57
2012,29,0.3172,306.687,31.97,6.21,19.09,43.11,85.24
2012,30,0.3073,306.647,32.56,5.9,19.23,41.2,86.02
2012,31,0.295,306.097,31.93,7.59,19.76,39.8,85.83
2012,32,0.2832,305.055,31.49,11.69,21.59,34.93,82.63
